2026-05-20 01:27:50.373 [info] Reading sessions from keychain...
2026-05-20 01:27:50.373 [info] Getting sessions for all scopes...
2026-05-20 01:27:50.859 [info] Got stored sessions!
2026-05-20 01:27:50.860 [info] Got 2 verified sessions.
2026-05-20 01:27:50.861 [info] Got 2 sessions for ...
2026-05-20 01:27:50.861 [info] Getting sessions for all scopes...
2026-05-20 01:27:50.861 [info] Got 2 sessions for ...
2026-05-20 01:27:51.555 [info] Getting sessions for all scopes...
2026-05-20 01:27:51.555 [info] Got 2 sessions for ...
2026-05-20 01:27:54.212 [info] FetcherService: Node fetch failed with status: 429 Too Many Requests
2026-05-20 01:27:54.216 [info] Unable to resolve optional EDU details. Status: 429 Too Many Requests
2026-05-20 01:27:54.318 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-05-20 01:27:54.318 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-05-20 01:27:54.687 [info] Getting sessions for all scopes...
2026-05-20 01:27:54.687 [info] Got 2 sessions for ...
2026-05-20 01:27:55.251 [info] Getting sessions for all scopes...
2026-05-20 01:27:55.251 [info] Got 2 sessions for ...
2026-05-20 01:27:56.104 [info] Getting sessions for all scopes...
2026-05-20 01:27:56.104 [info] Got 2 sessions for ...
2026-05-20 01:27:56.663 [info] Getting sessions for all scopes...
2026-05-20 01:27:56.663 [info] Got 2 sessions for ...
2026-05-20 01:27:56.883 [info] Getting sessions for all scopes...
2026-05-20 01:27:56.883 [info] Got 2 sessions for ...
2026-05-20 01:27:57.086 [info] Getting sessions for all scopes...
2026-05-20 01:27:57.086 [info] Got 2 sessions for ...
2026-05-20 01:30:45.005 [info] Getting sessions for all scopes...
2026-05-20 01:30:45.006 [info] Got 2 sessions for ...
2026-05-20 01:30:45.014 [info] Getting sessions for all scopes...
2026-05-20 01:30:45.014 [info] Got 2 sessions for ...
2026-05-20 01:31:51.422 [info] Getting sessions for all scopes...
2026-05-20 01:31:51.422 [info] Got 2 sessions for ...
2026-05-20 01:31:51.435 [info] Getting sessions for all scopes...
2026-05-20 01:31:51.435 [info] Got 2 sessions for ...
2026-05-20 01:32:20.299 [info] Getting sessions for all scopes...
2026-05-20 01:32:20.299 [info] Got 2 sessions for ...
2026-05-20 01:32:20.309 [info] Getting sessions for all scopes...
2026-05-20 01:32:20.309 [info] Got 2 sessions for ...
2026-05-20 01:32:34.322 [info] Getting sessions for all scopes...
2026-05-20 01:32:34.322 [info] Got 2 sessions for ...
2026-05-20 01:32:34.325 [info] Getting sessions for all scopes...
2026-05-20 01:32:34.325 [info] Got 2 sessions for ...
2026-05-20 01:33:57.722 [info] Getting sessions for all scopes...
2026-05-20 01:33:57.722 [info] Got 2 sessions for ...
2026-05-20 01:33:57.732 [info] Getting sessions for all scopes...
2026-05-20 01:33:57.732 [info] Got 2 sessions for ...
2026-05-20 01:36:47.619 [info] Getting sessions for all scopes...
2026-05-20 01:36:47.619 [info] Got 2 sessions for ...
2026-05-20 01:36:47.621 [info] Getting sessions for all scopes...
2026-05-20 01:36:47.621 [info] Got 2 sessions for ...
2026-05-20 01:37:10.290 [info] Getting sessions for all scopes...
